orig_address,orig_city,orig_state,orig_country,subpremise,street_number,route,locality,administrative_area_level_2,administrative_area_level_1,country,postal_code,lat,lng,partial_match
 118 Friend Street,Amesbury,MA,1913,"",118,Friend Street,Amesbury,Essex County,Massachusetts,United States,01913,42.8546313,-70.9380953,true
 256 Halltown Road,Harpers Ferry,WV,25425,"",256,Halltown Road,Harpers Ferry,Jefferson County,West Virginia,United States,25425,39.3076401,-77.805303,false
 220 N. Chicago,Litchfield,MI,49252,"",220,North Chicago Street,Litchfield,Hillsdale County,Michigan,United States,49252,42.045859,-84.75843189999999,true
 109 East Street,Jonesville,MI,49250,"",109,East Street,Jonesville,Hillsdale County,Michigan,United States,49250,41.9842284,-84.659947,false
 415 W. Main,Hudson,MI,49247,"",415,West Main Street,Hudson,Lenawee County,Michigan,United States,49247,41.8546165,-84.357897,true
 303 N. Summit,Morenci,MI,49256,"",303,South Summit Street,Morenci,Lenawee County,Michigan,United States,49256,41.7170142,-84.21528049999999,true
 403 S Main St,Reading,MI,49274,"",403,South Main Street,Reading,Hillsdale County,Michigan,United States,49274,41.8368782,-84.74785109999999,false
 16421 Brooks Loop Road,Eagle River,AK,99577,"","",East Eagle River Loop Road,Anchorage,Anchorage,Alaska,United States,99577,61.29560539999999,-149.5612507,true
 106 Clement Ave.,Oxford,NC,27565,"",106,Clement Avenue,Oxford,Granville County,North Carolina,United States,27565,36.319423,-78.595705,false
 834 North Main Street,Creedmoor,NC,27522,"",834,North Main Street,Creedmoor,Granville County,North Carolina,United States,27522,36.127315,-78.6814551,false
 311 Willow Avenue,Hoboken,NJ,7030,"",311,Willow Avenue,Hoboken,Hudson County,New Jersey,United States,07030,40.7410982,-74.0336355,true
 305 First Street,Hackensack,NJ,7601,"",305,1st Street,Hackensack,Bergen County,New Jersey,United States,07601,40.8908257,-74.0491393,true
 10355 Commerce Street,Summerville,GA,30747,"",10355,Commerce Street,Summerville,Chattooga County,Georgia,United States,30747,34.484579,-85.34585659999999,false
 114 5th Street,Sandstone,MN,55072,"","",5th Street,Sandstone,Pine County,Minnesota,United States,55072,46.1319433,-92.8636873,true
 425 Main Street,East Haven,CT,6512,"",425,Main Street,East Haven,New Haven County,Connecticut,United States,06512,41.2819761,-72.8769367,true
 4997 Memorial Blvd,Kingsport,TN,37664,"",4997,Memorial Boulevard,Kingsport,Sullivan County,Tennessee,United States,37664,36.546183,-82.45896669999999,false
 2302 E. Divide Avenue,Bismarck,ND,58501,"",2302,East Divide Avenue,Bismarck,Burleigh County,North Dakota,United States,58501,46.8239287,-100.7566847,false
 1351 Highland Avenue,Needham,MA,2492,"",1351,Highland Avenue,Needham,Norfolk County,Massachusetts,United States,02492,42.283206,-71.236518,true
 325 N. Main Street,Mocksville,NC,27028,"",325,North Main Street,Mocksville,Davie County,North Carolina,United States,27028,35.8970053,-80.56073219999999,false
 465 Centre St,Newton,MA,2458,"",465,Centre Street,Newton,Middlesex County,Massachusetts,United States,02458,42.3547635,-71.18678419999999,true
 131 King St,Winder,GA,30680,"",131,King Street,Winder,Barrow County,Georgia,United States,30680,33.99063,-83.71140199999999,false
 219 W Spring Avenue,Conway Springs,KS,67031,"",219,Spring Avenue,Conway Springs,Sumner County,Kansas,United States,67031,37.390152,-97.6433928,true
 220 Avery Avenue,Morganton,NC,28655,"",220,Avery Avenue,Morganton,Burke County,North Carolina,United States,28655,35.75125000000001,-81.68636599999999,false
 519 Main St N W,Lenoir,NC,28645,"",519,Main Street Northwest,Lenoir,Caldwell County,North Carolina,United States,28645,35.9193886,-81.5412144,false
 1139 E. Pine,Lincolnton,NC,28092,"",1139,East Pine Street,Lincolnton,Lincoln County,North Carolina,United States,28092,35.477939,-81.242896,true
 806 Brunswick Avenue,Emporia,VA,23847,"",806,Brunswick Avenue,Emporia,"",Virginia,United States,23847,36.6882381,-77.55655519999999,false
 101 West Main St,Rigby,ID,83442,"",101,West Main Street,Rigby,Jefferson County,Idaho,United States,83442,43.6718649,-111.915374,false
 3296 Charmil Drive,Manchester,MD,21102,"",3296,Charmil Drive,Manchester,Carroll County,Maryland,United States,21102,39.6499616,-76.8794412,false
 101 North Meridian Street,Washington, IN,47501,"",101,North Meridian Street,Washington,Daviess County,Indiana,United States,47501,38.6577446,-87.17551399999999,false
 588 Hwy 51 S,Batesville,MS,38606,"",588,Highway 51,Batesville,Panola County,Mississippi,United States,38606,34.2987465,-89.9458789,true
 106 Conniebrook Lane,Melbourne,AR,72556,"",106,Connie Brook Road,Melbourne,Izard County,Arkansas,United States,72556,36.0590994,-91.88401119999999,true
 2001 Highway 56 East,Calico Rock,AR,72519,"",2001,Highway 56,Calico Rock,Izard County,Arkansas,United States,72519,36.14153590000001,-92.1235236,true
 203 Main,Osawatomie,KS,66064,"",203,Main Street,Osawatomie,Miami County,Kansas,United States,66064,38.4997827,-94.94330350000001,true
 816 119th St,Whiting,IN,46394,"",816,119th Street,Whiting,Lake County,Indiana,United States,46394,41.6788008,-87.50781020000001,false
 75 Harris Avenue,"Woonsocket,",RI,2895,"",75,Harris Avenue,Woonsocket,Providence County,Rhode Island,United States,02895,42.005761,-71.519706,true
 27221 156th Avenue SE,Kent,WA,98042,"",27221,156th Avenue Southeast,Kent,King County,Washington,United States,98042,47.3576032,-122.1346314,false
 1200 S Miles Ave,Union City,TN,38261,"",1200,South Miles Avenue,Union City,Obion County,Tennessee,United States,38261,36.4139361,-89.040872,false
 6941 Central Ave,Portage,IN,46368,"",6941,Central Avenue,Portage,Porter County,Indiana,United States,46368,41.5753515,-87.1485479,false
 517 Broadway,Chesterton,IN,46304,"",517,Broadway,Chesterton,Porter County,Indiana,United States,46304,41.6110595,-87.0579412,false
 228 Allen Avenue,Jonesboro,LA,71251,"",228,Allen Avenue,Jonesboro,Jackson Parish,Louisiana,United States,71251,32.2433741,-92.7163046,false
 36 S. Pine Creek,Fairfield,CT,6824,"",36,South Pine Creek Road,Fairfield,Fairfield County,Connecticut,United States,06824,41.139998,-73.2683907,true
 3321 Glynn Avenue Hwy 17 N,Brunswick,GA,31520,"","","",Brunswick,Glynn County,Georgia,United States,"",31.1499528,-81.49148939999999,true
 253 Elizabeth,Derby,CT,6418,"",253,Elizabeth Street,Derby,New Haven County,Connecticut,United States,06418,41.3254181,-73.0893588,true
 836 N. Main Street,Royal Oak,MI,48067,"",836,North Main Street,Royal Oak,Oakland County,Michigan,United States,48067,42.4969276,-83.14408999999999,false
 2119 Boston Post Road,Darien,CT,6820,"",2119,Boston Post Road,Darien,Fairfield County,Connecticut,United States,06820,41.0599909,-73.4907212,true
 1091 Rockville Pike,Rockville,MD,20852,"",1091,Rockville Pike,Rockville,Montgomery County,Maryland,United States,20852,39.071047,-77.13296629999999,false
 30351 Dequindre Road,Madison Heights,MI,48071,"",30351,Dequindre Road,Madison Heights,Oakland County,Michigan,United States,48071,42.5161744,-83.0866023,false
 43 Winn Street,Burlington,MA,1803,"",43,Winn Street,Burlington,Middlesex County,Massachusetts,United States,01803,42.4918026,-71.17522760000001,true
 805 East Nash Sreet,Wilson,NC,27893,"",805,Nash Street Southeast,Wilson,Wilson County,North Carolina,United States,27893,35.7191111,-77.9035481,true
 28 College Street,Norwood,NC,28128,"","",College Street,Norwood,Stanly County,North Carolina,United States,28128,35.2212344,-80.11764,true
 702 N. Queen St.,Kinston,NC,28501,"",702,North Queen Street,Kinston,Lenoir County,North Carolina,United States,28501,35.2680888,-77.58134439999999,false
 201 N. 12th Street,Fort Smith,AR,72901,"",201,North 12th Street,Fort Smith,Sebastian County,Arkansas,United States,72901,35.385594,-94.418229,false
 33440 First Way South #107,Federal Way,WA,98003,"",33440,1st Way South,Federal Way,King County,Washington,United States,98003,47.301147,-122.329006,false
 44 Congress Street,Milford,MA,1757,"",44,Congress Street,Milford,Worcester County,Massachusetts,United States,01757,42.1429673,-71.5236824,true
 975 Carpenter Rd NE #101,Lacey,WA,98516,"",975,Carpenter Road,Gibbon,Kearney County,Nebraska,United States,68840,40.6478122,-98.9137961,true
 11020 S. Tacoma Way,Lakewood,WA,98499,"",11020,South Tacoma Way,Lakewood,Pierce County,Washington,United States,98499,47.156986,-122.484086,false
 3005 Bridgeport Way W,University Place, WA,98466,"",3005,Bridgeport Way West,University Place,Pierce County,Washington,United States,98466,47.2323889,-122.5358244,false
 3318 Glenwood Road,Decatur,GA,30032,"",3318,Glenwood Road,Decatur,DeKalb County,Georgia,United States,30032,33.738889,-84.28224,false
 4100 Alma Hwy,Van Buren,AR,72956,"",4100,Alma Highway,Van Buren,Crawford County,Arkansas,United States,72956,35.4511438,-94.30867049999999,false
 221 4th Street,Gaylord,MN,55334,"",221,4th Street,Gaylord,Sibley County,Minnesota,United States,55334,44.5531768,-94.22066079999999,false
 195 Rainbow Lake Road,Boiling Springs,SC,29316,"",195,Rainbow Lake Road,Boiling Springs,Spartanburg County,South Carolina,United States,29316,35.0544659,-81.98478709999999,false
 2 West Main Street,"Rosholt,",SD,57260,"","",Main Street,Rosholt,Roberts County,South Dakota,United States,57260,45.8666065,-96.73147639999999,true
 305 Rock River Avenue,Three Rivers,MI,49093,"",305,Rock River Avenue,Three Rivers,St. Joseph County,Michigan,United States,49093,41.9474498,-85.63619539999999,false
 101 Main Street,White,SD,57276,"",101,East Main Street,White,Brookings County,South Dakota,United States,57276,44.4346972,-96.6460513,true
 217 Kason Ave,Volga,SD,57071,"",217,Kasan Avenue,Volga,Brookings County,South Dakota,United States,57071,44.3231919,-96.9267002,true
 1617 Orchard Dr,"Brookings,",SD,57006,"",1617,Orchard Drive,Brookings,Brookings County,South Dakota,United States,57006,44.3019651,-96.77752389999999,false
 217 N Elk St,"Elkton,",SD,57026,"",217,North Elk Street,Elkton,Brookings County,South Dakota,United States,57026,44.2387697,-96.4810548,true
 84 West Main Street,Peru,IN,46970,"",84,West Main Street,Peru,Miami County,Indiana,United States,46970,40.7525813,-86.0716741,false
 915 Bypass Hwy,Richland,WA,99352,"",915,West Sr Highway 24 Way,Richland,Benton County,Washington,United States,99352,46.2833392,-119.3116145,true
 2500 N. Council Avenue,Blanchard,OK,73010,"",2500,North Council Avenue,Blanchard,McClain County,Oklahoma,United States,73010,35.1606821,-97.65252129999999,false
 602 A Street,Elgin,OK,73538,"",602,A Street,Elgin,Comanche County,Oklahoma,United States,73538,34.78066,-98.299016,false
 934 S. Main Street,Hampstead,MD,21074,"",934,South Main Street,Hampstead,Carroll County,Maryland,United States,21074,39.602132,-76.84935399999999,false
 125 High Street,Ellerbe,NC,28338,"",125,High Street,Ellerbe,Richmond County,North Carolina,United States,28338,35.065547,-79.760245,false
 111 Elizabeth Street,Spring Lake,NC,28390,"",111,Elizabeth Street,Spring Lake,Cumberland County,North Carolina,United States,28390,35.170151,-78.9798519,false
 2001 Pennsylvania Ave,Charleston,WV,25302,"",2001,Pennsylvania Avenue,Charleston,Kanawha County,West Virginia,United States,25302,38.36463579999999,-81.613055,false
 1535 Hermitage Drive,Florence,AL,35630,"",1535,Hermitage Drive,Florence,Lauderdale County,Alabama,United States,35630,34.8222076,-87.6643665,false
" 560 NC Highway, 268 West",Elkin,NC,28621,"",560,Nc Highway 268 West,Elkin,Surry County,North Carolina,United States,28621,36.2539609,-80.866282,false
 725 S. Main,Kokomo,IN,46901,"",725,South Main Street,Kokomo,Howard County,Indiana,United States,46901,40.4791287,-86.1313747,true
 3400 South Webster Street,Kokomo,IN,46902,"",3400,South Webster Street,Kokomo,Howard County,Indiana,United States,46902,40.4479276,-86.1364839,false
 15215 Court Street,Moulton,AL,35650,"",15215,Court Street,Moulton,Lawrence County,Alabama,United States,35650,34.4823628,-87.2773005,false
 215 E. North Street,Madisonville,KY,42431,"",215,East North Street,Madisonville,Hopkins County,Kentucky,United States,42431,37.3351781,-87.49350179999999,false
 1219 N. Main,Hutchinson,KS,67501,"",1219,North Main Street,Hutchinson,Reno County,Kansas,United States,67501,38.0668999,-97.9324,true
 35 Green St,Newburyport,MA,1950,"",35,Green Street,Newburyport,Essex County,Massachusetts,United States,01950,42.8098036,-70.8729527,true
 419 Dowd Street,Durham,NC,27702,"",419,Dowd Street,Durham,Durham County,North Carolina,United States,27701,36.0005624,-78.89064479999999,true
 301 Highland,Westville,NJ,8093,"",301,Highland Avenue,Westville,Gloucester County,New Jersey,United States,08093,39.872851,-75.1293433,true
 512 Main Street,Williamsburg,KY,40769,"",512,Main Street,Williamsburg,Whitley County,Kentucky,United States,40769,36.74111389999999,-84.1622567,false
 8801 U.S. Hwy 231 North,Wetumpka,AL,36092,"","",Old US Highway 231,Wetumpka,Elmore County,Alabama,United States,36092,32.6177949,-86.2337223,true
 1709 Lay Dam Road,Clanton,AL,35046,"",1709,Lay Dam Road,Clanton,Chilton County,Alabama,United States,35045,32.8696504,-86.6223531,true
 132 S Main Street,Crittenden,KY,41030,"","",North Main Street,Crittenden,Grant County,Kentucky,United States,41030,38.7836303,-84.6042855,true
 500 N. Main Street,Williamstown,KY,41097,"",500,North Main Street,Williamstown,Grant County,Kentucky,United States,41097,38.64201389999999,-84.56006219999999,false
 1204 Avenue B,Ellisville,MS,39437,"",1204,Avenue B,Ellisville,Jones County,Mississippi,United States,39437,31.6105657,-89.2080726,false
 400 Hwy 11 North,Ellisville,MS,39437,"",400,Route 11,Ellisville,Jones County,Mississippi,United States,39437,31.60975899999999,-89.19397149999999,true
 321 N. Egan Avenue,Madison,SD,57042,"",321,Egan Avenue North,Madison,Lake County,South Dakota,United States,57042,44.0079234,-97.11435089999999,true
 2 Vanhorn Drive,Glenville,WV,26351,"",2,Vanhorn Drive,Glenville,Gilmer County,West Virginia,United States,26351,38.9374995,-80.8161192,false
 4600 W. Kilgore Avenue,Muncie,IN,47304,"",4600,West Kilgore Avenue,Muncie,Delaware County,Indiana,United States,47304,40.182768,-85.437626,false
 217 Winchester Ave,Moorefield,WV,26836,"",217,Winchester Avenue,Moorefield,Hardy County,West Virginia,United States,26836,39.0619722,-78.9667887,false
 11300 W. 97th,St. John,IN,46373,"",11300,West 97th Lane,Saint John,Lake County,Indiana,United States,46373,41.4415672,-87.4717131,true
 9931 Lincoln Plaza Way,Cedar Lake,IN,46303,"","",Cedar Creek Court,Painesville,Lake County,Ohio,United States,44077,41.7302985,-81.2020679,true
 97 Elmwood Ave,Burlington,VT,5401,"",97,Elmwood Avenue,Burlington,Chittenden County,Vermont,United States,05401,44.483096,-73.21406499999999,true
 3316 State Hwy 33,Neptune,NJ,7753,"",3316,Highway 33,Neptune City,Monmouth County,New Jersey,United States,07753,40.2080323,-74.0704896,true
 8 Second St. North,Royalton,MN,56373,"",8,North 2nd Street,Royalton,Morrison County,Minnesota,United States,56373,45.83264519999999,-94.2930294,true
 288 N Main St,Pierz,MN,56364,"",288,Main Street North,Pierz,Morrison County,Minnesota,United States,56364,45.9832301,-94.10509160000001,true
 900 1st Street SE,Little Falls,MN,56345,"",900,1st Street Southeast,Little Falls,Morrison County,Minnesota,United States,56345,45.9669418,-94.3652395,false
 1629 E. Nettleton,Jonesboro,AR,72401,"",1629,East Nettleton Avenue,Jonesboro,Craighead County,Arkansas,United States,72401,35.827685,-90.686078,true
 115 S. Main,Bristol,NH,3222,"",115,South Main Street,Bristol,Grafton County,New Hampshire,United States,03222,43.58567430000001,-71.73176099999999,true
 1050 W. Main Street,Berryville,VA,22611,"",1050,West Main Street,Berryville,Clarke County,Virginia,United States,22611,39.1668186,-78.0028372,false
 5095 N. Main Street,Stephens City,VA,22655,"",5095,Main Street,Stephens City,Frederick County,Virginia,United States,22655,39.0902919,-78.2120882,true
 125 W. Oregon St,Creswell,OR,97426,"",125,West Oregon Avenue,Creswell,Lane County,Oregon,United States,97426,43.9176709,-123.0203244,true
 301 East Main Street,Hazard,KY,41701,"",301,East Main Street,Hazard,Perry County,Kentucky,United States,41701,37.2458858,-83.1865583,false
 1700 N. Spokane Street,Post Falls,ID,83854,"",1700,North Spokane Street,Post Falls,Kootenai County,Idaho,United States,83854,47.72489299999999,-116.947639,false
 28 S College,Fayetteville,AR,72701,"",28,South College Avenue,Fayetteville,Washington County,Arkansas,United States,72701,36.061998,-94.157545,true
 709 N. Walton,Bentonville,AR,72712,"",709,North Walton Boulevard,Bentonville,Benton County,Arkansas,United States,72712,36.380526,-94.22157,true
 3190 Bella Vista Way,Bella Vista,AR,72714,"",3190,Bella Vista Way,Bella Vista,Benton County,Arkansas,United States,72714,36.430063,-94.2322334,false
 411 S. Main Street,New Britain,CT,6051,"",411,South Main Street,New Britain,Hartford County,Connecticut,United States,06051,41.6534189,-72.7758061,true
 901 Carpenter Avenue,Iron Mountain,MI,49801,"",901,Carpenter Avenue,Iron Mountain,Dickinson County,Michigan,United States,49801,45.8146134,-88.0684763,false
 116 1st Street Northeast,Elbow Lake,MN,56531,"",116,1st Street Northeast,Elbow Lake,Grant County,Minnesota,United States,56531,45.9936758,-95.9731559,false
 107 7th St. N,Hoffman,MN,56339,"","",7th Street South,Hoffman,Grant County,Minnesota,United States,56339,45.83131729999999,-95.7831832,true
